[0916/140729:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/142416:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/145534:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/150759:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/151400:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/151611:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/152003:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/152057:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/152304:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/152759:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/152932:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/153458:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/155511:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/155811:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/155929:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/160519:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/160648:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/161932:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/162326:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/162813:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/162938:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/163114:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/163400:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/191609:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/191923:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/192151:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/192808:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/193017:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/193239:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/193527:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0916/194208:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/142102:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/143426:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/144621:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/145646:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/145900:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/150254:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/150649:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/150922:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/151402:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/152544:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/153046:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/153642:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/154748:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/155755:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/160134:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/160840:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/161814:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/162832:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/174848:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/175343:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/180115:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/180350:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/181827:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/182107:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/182850:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/183446:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/183952:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/185332:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/185833:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/190347:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/190916:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/191247:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/191654:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/193017:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/193426:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/193714:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/112638:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/113452:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/115132:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/115543:ERROR:file_io.cc(30)] read: expected 4, observed 0
